Name,Water(g),Energy(g),Protein(g),Fat(g),Carbohydrate(mg),Fiber(mg),Ash(mg),Calcium(CA)(mg),Phospor(P)(mg),Iron(Fe)(mg),Sodium(Na)(mg),Pottasium(Ka)(mg),Copper(Cu)(mg),Zinc(Zn)(mg),Retinol(vit.A)(mcg),?-carotene(mcg),Carotene(Total)(mcg),Thiamin(vit.B1)(mcg),Riboflavin(vit.B2)(mg),Niacin(mg),Vitamin_C(mg),Eaten%,Raw_Processed,Group
"Beef soup, cooking",87.5,49,5.8,0.5,5.3,-,0.9,158,48,2.2,391,-,-,-,101,-,"3,320",0.37,-,-,-,100,Processed,Meat
"Beef leg soup, cooking",84.5,68,9,1.9,3.7,-,0.9,302,15,2.2,435,-,-,-,48,-,150,0.46,-,-,-,100,Processed,Meat
"Goat soup, cooking",91.6,34,5.5,0.8,1.1,-,1,145,37,1.6,348,-,-,-,48,-,80,0.57,-,-,-,100,Processed,Meat
"Konro soup, cooking",85,71,7.4,2.6,4.5,-,0.5,17,60,4.6,184,25,0.3,1.3,-,-,-,0.12,0.02,10.9,-,100,Processed,Meat
"Brother soup, cooking",82.4,89,7.2,5,3.9,-,1.5,10,174,9,274,50,0.2,1.1,-,-,-,0.09,0.12,2,-,100,Processed,Meat
"Soto Bandung, cooking",89.9,42,3.9,1.7,2.8,0.4,1.8,74,75,1.8,-,-,-,-,6,20,0.1,-,-,-,-,100,Processed,Meat
"Soto banjar, cooking",83.7,110,2.9,9.5,3.2,-,0.7,28,28,0.3,36,6,-,0.2,12,-,770,0.05,-,-,-,100,Processed,Meat
"Soto Betawi, cooking",75.9,135,2.5,8.8,11.5,0.5,1.3,222,72,1.9,-,-,-,-,6,-,336,0.04,-,-,-,100,Processed,Meat
"Soto offal, cooking",81.4,92,11.8,4.3,1.4,-,1.1,218,48,1.9,363,-,-,-,85,-,440,0.36,-,-,-,100,Processed,Meat
"Holy Soto, cooking",91.6,38,2.6,2.3,1.8,0.2,1.7,237,67,1.7,-,-,-,-,23,-,128,0.06,-,0.5,-,100,Processed,Meat
"Soto Madura, cooking",89.8,60,3.5,4.5,1.3,-,0.9,361,126,3.8,-,-,-,-,26,-,121,0.06,-,-,-,100,Processed,Meat
"Soto padang, cooking",75,127,5.9,6.6,11,0.7,2,298,94,1.5,-,-,-,-,12,-,204,0.22,-,-,-,100,Processed,Meat
"Soto Pekalongan, cooking",83.8,94,3,6.8,5.1,0.3,1.3,322,79,2,-,-,-,-,14,-,119,0.29,-,-,-,100,Processed,Meat
"Soto Pemalang, cooking",86,75,3.6,5.2,3.5,-,1.7,170,80,2.1,-,-,-,-,16,-,30,0.13,-,-,-,100,Processed,Meat
"Soto Sukaraja, cooking",75.9,80,3.2,3.5,9,0.3,1.1,347,77,2.3,-,-,-,-,12,-,89,0.04,-,-,-,100,Processed,Meat
"Soto Sulung, cooking",88.1,86,2.3,8.5,-,-,1.1,200,120,2.9,-,-,-,-,20,-,105,0.08,-,-,-,100,Processed,Meat
"Sukiyaki, cooking",81,75,5.6,0.4,12.2,0.2,0.8,109,59,0.5,426,-,-,-,41,-,"1,200",0.37,-,-,-,100,Processed,Meat
"Tedong pallu basa, cooking",81.7,83,10.4,3.4,2.8,-,1.7,10,139,2.6,397,34,0.6,1.3,-,-,-,0.09,0.53,9,-,100,Processed,Meat
"Rica rat, cooking",54.9,257,18.8,18.5,3.8,-,4,232,293,6.5,"1,724",308,0.5,2.3,674,-,-,0.28,0.38,-,-,100,Processed,Meat
"Tinoransa, cooking",31.6,516,17.7,49.5,-,-,1.2,698,648,3.5,"1,307",320,0.1,1.8,710,-,-,0.29,0.17,-,-,100,Processed,Meat
"Veal, meat, high fat, fresh",62,184,18.8,14,-,-,5.2,10,200,2.2,118,490.1,0.17,5.8,12,37,-,0.13,0.17,7,-,100,Single,Meat
"Veal, meat, low fat, fresh",69,174,19.6,10,-,-,1.4,11,201,2.9,96,399.8,0.14,4.8,6,30,-,0.08,0.14,5.7,-,100,Single,Meat
"Veal, meat, medium, fresh",68,190,19.1,12,-,-,0.9,11,193,2.9,99,412.7,0.14,4.9,12,83,-,0.14,0.15,5.9,-,100,Single,Meat
"Goose, meat, fresh",51.1,349,16.4,31.5,-,-,1,15,188,1.8,71,299.2,0.26,1.7,273,-,-,0.1,0.24,7.1,-,60,Single,Meat
"Chicken, meat, fresh",55.9,298,18.2,25,-,-,0.9,14,200,1.5,109,385.9,0.11,2,245,5,-,0.08,0.14,10.4,-,58,Single,Meat
"Black puding (chicken blood), fresh",82,75,13.8,1.9,0.7,-,1.6,15,9,1.3,337,234,-,-,15,-,-,0.02,-,0.6,-,100,Single,Meat
"Chicken liver, raw",53.4,261,27.4,16.1,1.6,-,1.5,118,373,15.8,"1,068",22.9,0.84,0,"4,957",169,"28,000",0.64,4.38,4.1,-,100,Single,Meat
"Pork, medium fat, fresh",42,453,11.9,45,-,-,1.1,7,117,1.8,112,819.3,0.22,0.4,-,-,-,0.58,0.59,5.9,-,100,Single,Meat
"Pork, lean, fresh",50,371,14.1,35,-,-,0.9,8,151,2.1,97,706.3,0.19,0.4,-,-,-,0.67,0.33,5.4,-,100,Single,Meat
"Pork, kidney, fresh",77.1,110,16.3,4.6,0.8,-,1.2,11,246,8,139,390,0.71,3.2,39,10,-,0.58,1.59,9.1,13,100,Single,Meat
"Pork, liver, fresh",72.3,129,19.7,4.8,1.7,-,1.5,10,362,18,110,447,0.58,0.1,"4,303",6,-,0.4,1.16,5.7,23,100,Single,Meat
"Duck, meat, fresh",54.3,321,16,28.6,-,-,1.1,15,188,1.8,54,199,0.21,1.2,273,-,-,0.1,0.28,4.3,-,60,Single,Meat
"Duck, alabio, meat, fresh",57,303,11.3,27,3.7,-,1,20,293,4.8,50,260,0.7,2,-,-,-,0.36,0.04,4.1,-,100,Single,Meat
"Whistling duck, meat, fresh",71.3,131,20.2,4.3,2.8,-,1.4,8,192,9.6,46,104,1.2,1.6,-,-,-,0.37,0.08,2.7,-,100,Single,Meat
"Birds, nests, fresh",24.8,281,37.5,0.3,32.1,-,5.3,485,18,3,-,-,-,-,-,-,-,-,-,-,-,100,Single,Meat
"Lamb, meat, high fat, fresh",55.8,317,15.7,27.7,-,-,0.8,9,157,2.4,64,242.1,0.11,3.7,-,-,-,0.14,0.23,6.5,-,100,Single,Meat
"Lamb, meat, low fat, fresh",66.3,202,17.1,14.8,-,-,1.8,10,191,2.6,90,355,0.08,2.8,-,-,-,0.15,0.26,5.7,-,100,Single,Meat
"Kidney, lamb, fresh",77.8,100,16.6,3.3,1,-,1.3,13,237,9.2,167,296.1,0.48,2.4,348,515,-,0.51,2.35,8,13,100,Single,Meat
"Goat, meat, fresh",70.3,149,16.6,9.2,-,-,3.9,11,124,1,96,268.7,0.31,4.9,-,-,-,0.09,0.23,5,-,100,Single,Meat
"Rabbit, meat, fresh",74.3,142,16.9,7.8,-,-,1,7,350,1,49,371.1,-,-,-,-,-,0.11,0.11,6.8,-,100,Single,Meat
"Water buffalo, meat, fresh",80,79,18.7,0.5,-,-,0.8,14,221,3.3,91,273,0.13,1.6,-,-,-,0.06,0.17,5,-,100,Single,Meat
"Horse, meat, fresh",76,113,18.1,4.1,0.9,-,0.9,10,150,2.7,46,315.7,0.13,2.5,-,-,-,0.07,0.07,3,-,100,Single,Meat
"Cattle, tripe, fresh",76.7,108,17.6,4.2,-,-,1.5,12,144,1,147,101.4,0.11,2.2,-,49,-,0.15,0.17,1.7,-,100,Single,Meat
"Beef, high fat, fresh",60,273,17.5,22,-,-,0.5,10,150,2.6,93,267,0.17,6.4,12,-,-,0.08,0.18,7.3,-,100,Single,Meat
"Beef, low fat, fresh",69,174,19.6,10,-,-,1.4,11,181,2.9,83,489,0.07,4.9,6,181,-,0.07,0.51,1.2,-,100,Single,Meat
"Beef, medium fat, fresh",66,201,18.8,14,-,-,1.2,11,170,2.8,105,378,4.58,5.2,9,198,-,0.08,0.56,1.3,-,100,Single,Meat
"Offal, beef, fresh",70.1,183,12,14.4,1.4,-,2.1,43,319,1.8,277,160,0.1,0.8,-,104,-,0.31,0.22,8.5,-,100,Single,Meat
"Black puding (cow's blood), fresh",75.6,98,21.9,1.1,-,-,1.4,7,24,1.3,150,170,-,0.2,15,214,-,0.01,0.03,0.9,-,100,Single,Meat
"Kidney, beef, fresh",74.9,137,15,8.1,0.9,-,1.1,9,221,7.9,200,230.2,-,-,348,583,-,0.37,1.22,6.1,13,100,Single,Meat
"Tripe, beef, fresh",83.8,84,10.5,4.6,0.2,-,0.9,20,13,2.1,73,318,0.2,1.7,857,34,-,0.1,0.14,0.3,-,100,Single,Meat
"Liver, beef, fresh",69.7,132,19.7,3.2,6,-,1.4,7,358,6.6,110,213,0.51,2.3,"13,303",355,-,0.26,1.52,11.4,31,100,Single,Meat
"Brain, beef, fresh",78.9,123,10.4,8.6,0.8,-,1.3,16,330,3.6,112,243.8,0.26,0.9,-,-,-,0.23,0.19,3.9,18,100,Single,Meat
"Cow, intestine, fresh",76.7,126,14,7.2,1.5,-,0.6,14,115,4,-,-,-,-,61,-,-,0.08,0.33,0.2,-,100,Single,Meat
"Sago caterpillar, fresh",65.9,241,5.8,21.6,5.8,2.8,0.9,20,70,0.5,210,210,1,7.7,-,-,-,0.17,1.45,0.1,-,100,Single,Meat
"Snail, jerky, raw",6.7,441,48.7,20.3,15.8,-,8.4,692,523,16.6,-,-,-,-,6,-,"1,408",0.56,-,-,69,100,Processed,Fish etc.
"Asian swamp eel, fried",11.2,417,25.9,19.4,32,-,11.5,840,872,4.9,71,217.7,0.3,1.8,-,-,-,-,0.2,10.5,-,-,Processed,Fish etc.
"Squid, fried",54.2,265,40.6,10.1,-,-,3.1,62,270,2.7,86,81.9,-,-,-,56,-,0.09,-,6.3,-,-,Processed,Fish etc.
"Salted fish, dried",40,193,42,1.5,-,-,16.5,200,300,2.5,-,-,-,-,-,-,-,0.01,-,-,-,70,Processed,Fish etc.
"Presto milkfish, cooking",45.3,296,17.1,20.3,11.3,-,6,"1,422",659,1.9,-,-,-,-,6,-,400,0.14,-,-,69,100,Processed,Fish etc.
"Asian river catfish, roast",69.8,144,17.8,5.8,5.2,-,1.4,18,169,-,168,236,0.1,0.7,-,-,-,-,-,1.3,-,-,Processed,Fish etc.
"Indonesian featherback, roast",68.2,128,18,3,7.2,-,3.6,58,134,-,293,198,0.1,0.4,-,-,-,1.8,0.17,1.5,-,-,Processed,Fish etc.
"Skipjack tuna, fish, smoked, raw",56.9,204,34.2,5.6,1.9,-,1.4,14,399,1.3,176,588,0.3,0.7,"1,546",-,-,0.53,0.07,-,-,70,Processed,Fish etc.
"Skipjack tuna, fish, salted, raw",41.7,198,36.5,2.2,5.5,-,14.1,236,346,3.7,"4,304",302.1,-,-,-,-,-,0.06,-,-,-,70,Processed,Fish etc.
"Calo / Peda fish, raw",71.3,81,11.4,1.9,3.8,-,11.6,743,174,22.6,-,-,-,-,15,-,-,-,-,-,-,100,Processed,Fish etc.
"Asian snakehead, fish, smoked",26.4,261,38.1,2.3,21.9,-,11.3,"2,510","1,840",2.9,320,410,0.4,0.8,114,-,-,0.1,0.1,14.5,-,80,Processed,Fish etc.
"Asian snakehead, fish, dried",24,268,58,4,-,-,14,15,100,0.1,-,-,-,-,30,-,-,0.1,-,-,-,80,Processed,Fish etc.
"Gete fish, fried",44.7,267,23.1,19.4,0.2,-,12.6,"2,340","1,240",0.8,590,440,0.1,1.9,-,-,-,-,-,0.2,-,-,Processed,Fish etc.
"Shark, fish, dried",23.1,298,46.3,3.6,20.2,-,6.8,335,846,2.5,957,"1,457.00",0.5,2,661,-,-,0.84,0.11,22.5,-,-,Processed,Fish etc.
"Pargy, fish, salted",44.7,162,31.7,2.8,0.3,-,15.5,279,609,4.6,"4,393",342.2,2.8,-,-,-,-,0.09,-,-,-,70,Processed,Fish etc.
"Wooden fish, dry",23.1,302,70.7,1.9,0.4,-,3.9,313,22,4.1,345,"1,045.00",-,1.8,-,-,-,1.4,0.04,20,-,-,Processed,Fish etc.
"Lais fish, grilled",69.4,147,17.5,6.5,5.4,-,1.2,54,194,0.1,142,209,-,0.5,-,-,-,-,-,-,-,-,Processed,Fish etc.
"Salted Lomak fish, raw",21.6,258,40.3,2.3,18.9,-,16.9,140,279,2.3,"6,227",485.1,2.3,-,-,-,-,0.1,0.3,6,-,-,Processed,Fish etc.
"Goldfish, pepes",57.5,209,15.2,11.3,11.8,0.5,4.3,686,530,6.1,74,276.7,0.1,1.9,3,-,315,0.13,0.1,2.4,-,100,Processed,Fish etc.
"Mujahir fish, fried",44.7,416,46.9,23.9,-,-,2.2,346,654,0.9,54,278.9,-,0.2,12,3,8,0.12,0.1,2.2,-,100,Processed,Fish etc.
"Mujahir fish, pepes",73.7,121,21.7,2.8,0.8,-,1,83,248,1.6,58,265.8,-,0.3,8,-,6,-,0.1,1.9,-,100,Processed,Fish etc.
"Mujahir fish, jerky, raw",15.2,582,68.3,15.2,37.2,-,14.1,"3,258","1,699",4.3,-,-,-,-,15,-,20,0.27,-,-,-,100,Processed,Fish etc.
"Papuyu fish, grilled",66.6,152,17.6,6.1,6.7,-,3,244,227,3.4,320,224,0.2,1,-,-,-,-,-,-,9,-,Processed,Fish etc.
"Catfish, grilled",70.3,144,17.5,6.3,4.3,-,1.6,191,232,1.4,379,230,0.1,0.7,-,-,-,-,-,-,-,-,Processed,Fish etc.
"Peda Banjar fish, raw",46,156,28,4,2,-,20,174,316,3.1,59,368.8,-,0.5,33,4,-,0.1,0.1,4.7,-,90,Processed,Fish etc.
"Pepetek fish, raw",33,176,32,4.4,2,-,28.6,120,200,1,79,1,-,-,15,-,-,0.05,0.1,2.4,-,-,Processed,Fish etc.
"Banjar boiled up fish, raw",59,157,28,4.2,1.8,-,7,50,100,1,-,-,-,-,45,-,-,0.1,-,-,-,-,Processed,Fish etc.
"Benggol boiled up fish, raw",57,170,31,4.2,-,-,7.8,50,100,1,-,-,-,-,45,-,-,0.1,-,-,-,-,Processed,Fish etc.
"Layang boiled up fish, raw",60,153,30,2.8,-,-,7.2,60,200,3,-,-,-,-,61,-,-,0.07,-,-,-,-,Processed,Fish etc.
"Selar boiled up fish, raw",60,142,27,3,-,-,10,60,200,3,-,-,-,-,61,-,-,0.07,-,-,-,-,Processed,Fish etc.
"Lais Sale fish, raw",12.4,415,61.3,17.6,2.9,-,5.8,258,919,7,381,488,17.6,1,-,-,-,0.03,0.1,17.3,-,-,Processed,Fish etc.
"Saluang fish, dried, raw",33.6,284,34.1,9.9,14.6,-,7.8,"1,426","1,103",9.5,"1,767",263,1.3,18.7,-,-,-,0.49,0.03,-,-,-,Processed,Fish etc.
"Grilled fish, cooking",42.6,240,21.7,7.7,20.7,-,7.3,159,362,9.8,"2,041",159,1.5,8.8,-,-,-,0.51,0.02,-,-,-,Processed,Fish etc.
"Yellow anchovies, cue, raw",59,138,27,3.3,-,-,0.7,50,100,2,-,-,-,-,45,-,-,0.1,-,-,-,90,Processed,Fish etc.
"Trevally yellow-banded, raw",43,194,38,3.5,-,-,15.5,20,200,1,-,-,-,-,-,-,-,0.01,-,-,-,-,Processed,Fish etc.
"Siamese gourami fish, dried, raw",30,289,38,14,-,-,18,40,100,0.7,-,-,-,-,-,-,-,-,-,-,-,-,Processed,Fish etc.
"Coral trout, salted, raw",34.7,199,34.1,3.8,7.1,-,20.3,94,92,2.2,377,57,0.1,3.2,"2,481",-,-,1.5,0.13,7.2,-,-,Processed,Fish etc.
"Fish, flour, raw",4.3,316,60.1,6.5,22.4,-,6.7,"3,196","1,976",16.6,-,-,-,-,320,-,-,-,-,-,-,-,Processed,Fish etc.
"Anchovy rice, dry, raw",34.5,144,32.5,0.6,-,-,32.4,"1,000","1,000",3,312,-,-,-,61,-,-,0.1,-,-,-,-,Processed,Fish etc.
"Anchovy, powdered, raw",15,277,60,2.3,1.8,-,20.9,"1,209","1,225",3,-,-,-,-,90,-,-,0.1,-,-,-,-,Processed,Fish etc.
"Anchovy, dried, raw",37.8,170,33.4,3,-,-,25.8,"1,200","1,500",3.6,-,-,-,-,64,-,-,0.15,-,-,-,-,Processed,Fish etc.
"Anchovy, dry, fresh, raw",16.7,331,68.7,4.2,-,-,10.4,"2,381","1,500",23.4,-,-,-,-,61,-,-,0.1,-,-,-,-,Processed,Fish etc.
"Anchovy, flour, raw",5.2,347,48.8,6.4,19.6,-,20,"4,608","1,200",18.6,-,-,-,-,61,-,130,1.12,-,-,-,-,Processed,Fish etc.
"Scallops, smoke, raw",9.3,393,38.9,13.3,29.4,-,9.1,420,410,8.5,160,50,0.6,3.7,-,-,-,0.3,1.7,0.2,-,100,Processed,Fish etc.
"Scallops, jerky, raw",18.3,357,41.1,10,25.6,-,5,217,904,5.2,-,-,-,-,-,-,329,0.27,-,-,-,100,Processed,Fish etc.
"Rebon, dry, raw",21.6,299,59.4,3.6,3.2,-,12.2,"2,306",625,21.4,-,-,-,-,-,-,-,0.06,-,-,-,-,Processed,Fish etc.
"Bamboo shoots sea, raw",18.2,320,7.2,4.2,63.3,-,7.1,240,570,6.6,20,"1,040.00",1.5,6.2,917,-,-,-,-,4.9,-,-,Processed,Fish etc.
Rusip,58.5,110,11.5,2,11.7,-,16.3,479,348,7.1,-,-,-,-,-,-,-,0.04,-,-,-,100,Processed,Fish etc.
Sardines in a can,47.1,338,21.1,27,1,-,3.8,354,434,3.5,-,-,-,-,76,-,-,0.1,-,-,-,-,Processed,Fish etc.
"Sea cucumbers, jerky, raw",12.5,462,39.1,32.4,3.5,-,12.5,499,616,96.4,315,402.5,-,-,2,-,144,1.37,-,5.3,-,100,Processed,Fish etc.
"Dried shrimp, raw",14.9,278,62.6,4.1,2.2,-,16.2,760,510,5.2,540,360,2.4,3.2,39,-,-,-,-,0.1,-,-,Processed,Fish etc.
"Papay shrimp, raw",24.5,273,47.8,3.8,12.5,-,11.5,"1,109",789,2.4,651,802,2.6,10.8,-,-,-,-,-,-,-,-,Processed,Fish etc.
Haruwan Floss (abon),11.6,513,23.7,37,21.3,-,6.4,25,25,0.5,61,15,-,0.2,-,-,-,-,-,-,-,100,Processed,Fish etc.
Shredded fish,6.4,435,27.2,20.2,36.1,-,10.1,-,-,-,-,-,-,-,-,-,-,-,0.8,24.3,-,100,Processed,Fish etc.
"Betok wadi, cooking",69.2,145,16.3,7,4.1,-,3.4,405,523,1.8,69,203,1,1.3,-,-,-,0.22,-,-,-,-,Processed,Fish etc.
"Bou ninahu ndamate, cuisine",79.5,79,6.3,1,1.1,-,2.1,-,-,-,67,-,-,-,691,-,-,0.1,-,0.1,-,-,Processed,Fish etc.
"Bouiki ninahu nggaluku, cooking",73.9,94,7.8,2.2,10.8,-,5.3,-,-,-,58,179.4,-,1.5,-,-,-,0.5,0.03,2.4,-,-,Processed,Fish etc.
Skipjack Asar (Papuan smoke),64.3,155,20.1,3.8,10.2,-,1.6,20,240,2.1,90,390,0.3,0.1,86,-,-,-,0.7,0.2,-,-,Processed,Fish etc.
"Eel jerky, fried",8.2,382,55.7,14.1,8,-,14,"1,069",654,15.4,-,-,-,-,28,-,"1,480",0.48,-,-,-,-,Processed,Fish etc.
"Fillet jerky, fried",6.5,598,74.3,26.9,9.2,-,13.1,"1,957","1,447",7.4,-,-,-,-,18,-,25,0.19,-,-,-,-,Processed,Fish etc.
Fillet o-fish,51,270,12.3,15.9,19.3,0.2,1.5,239,272,1.8,439,-,-,-,34,-,580,0.59,-,-,-,-,Processed,Fish etc.
"Gete sour soup, cooking",80.1,75,8.2,2,6,-,3.8,"1,620",880,0.8,260,150,0.1,1.5,-,-,-,-,-,0.1,-,-,Processed,Fish etc.
"Keueung tamarind curry, cooking",86,52,10,0.5,1.8,-,1.7,62,102,0.3,332,141,-,1,-,-,-,0.18,0.34,-,-,-,Processed,Fish etc.
"Pork fish curry, cooking",72.1,148,10,9.8,5,-,3.1,103,82,0.7,525,256,0.1,0.9,-,-,-,0.26,0.02,-,-,-,Processed,Fish etc.
"Fish curry, cooking",75.7,106,16.5,3.3,2.5,-,2,306,196,4.8,743,-,-,-,86,-,"2,760",0.32,-,-,-,-,Processed,Fish etc.
"Curry curry, cooking",81.4,110,5.9,8.2,3.2,-,1.3,32,96,1,335,121,0.2,0.9,-,-,-,0.33,0.04,-,-,100,Processed,Fish etc.
"Oyster curry, cooking",73.1,132,9,7.2,7.8,-,2.9,53,134,3.7,285,133,1.1,0.7,389,-,-,0.29,0.12,-,-,-,Processed,Fish etc.
"Sweet tamarind carp, cooking",63.1,192,12.7,10.1,12.7,-,2.4,283,169,1.1,-,-,-,-,19,-,"1,440",0.1,-,-,-,-,Processed,Fish etc.
"Red Asar Fish, cooking",69.2,146,17.7,5.9,5.6,-,1.6,100,240,4,170,310,0.3,1.4,224,-,-,-,-,-,-,-,Processed,Fish etc.
Fried Jambal,13.4,286,48.5,9.2,2.3,-,26.6,207,457,3.3,-,-,-,-,109,-,160,0.4,-,3.1,-,-,Processed,Fish etc.
"Jukku pallu kaloa, cooking",69.4,15,15.2,4.3,8.8,-,2.3,40,170,1.1,605,153,0.6,1.1,-,-,-,0.3,0.14,7.5,-,-,Processed,Fish etc.
"Kaholeo, cooking",11.2,413,28.7,19.8,29.8,-,10.5,909,"1,291",-,-,"1,171.00",0.1,3.1,"4,236",-,-,1.34,0.03,5.7,-,-,Processed,Fish etc.
"Penjah lawara, cooking",64.5,207,7.4,15.4,9.6,-,2.9,114,219,5.9,683,117,0.5,0.7,-,38,-,0.19,0.04,-,14,100,Processed,Fish etc.
"Model, cooking",83.9,79,2.2,4,8.6,-,1.3,8,33,0.8,147,34,0.1,0.5,-,-,-,0.16,0.02,-,-,-,Processed,Fish etc.
"Yellow pickled mujahir, cooking",43.1,330,17.8,23.4,12.1,1.1,4.6,154,357,5.3,-,-,-,-,24,-,"4,130",0.15,-,-,-,-,Processed,Fish etc.
"Parede baleh, cooking",80,87,10.5,2.5,5.5,-,1.5,35,215,0.9,416,59,0.1,0.2,-,-,-,0.24,-,0.7,-,-,Processed,Fish etc.
Adaan pempek,62.6,162,4.9,3,27.8,-,1.7,26,116,1,488,119,0.1,0.2,-,-,-,0.3,0.03,1,-,-,Processed,Fish etc.
Belida pempek,61.4,156,4.2,1.4,31.6,0.2,1.4,100,55,3.3,-,-,-,-,-,-,-,0.03,-,-,-,-,Processed,Fish etc.
Submarine pempek,63.4,152,4.5,2.3,28.2,-,1.6,19,115,1.6,628,91,0.1,0.2,-,-,-,0.2,0.03,1,-,-,Processed,Fish etc.
Kelesan pempek,53,211,12.3,6.1,26.6,0.4,2,840,176,1.8,-,-,-,-,14,-,888,0.25,-,-,-,-,Processed,Fish etc.
Skin pempek,45.7,243,5.2,7.3,39.1,-,2.7,16,96,2,555,102,0.1,0.6,-,-,-,0.2,0.02,0.9,-,-,Processed,Fish etc.
Egg pempek,62.4,156,4.7,2.7,28.3,-,1.9,13,83,1.3,448,48,0.1,0.6,-,-,-,0.2,0.05,1.1,-,-,Processed,Fish etc.
Tenggiri pempek,56.3,173,7.2,1.2,33.4,0.2,1.9,164,80,3.1,-,-,-,-,-,-,-,0.02,-,-,-,-,Processed,Fish etc.
"Pencok catfish, cooking",47.5,372,7.8,36.3,3.5,-,4.9,289,295,5.3,-,-,-,-,64,-,"12,070",0.12,-,-,-,-,Processed,Fish etc.
"Pinda, cooking",71,107,15.9,0.6,0.4,-,3.1,375,336,1.9,526,330,0.2,1,896,-,-,0.89,0.05,0.5,-,-,Processed,Fish etc.
"Walnut stew, cooking",80.1,124,9.5,9.6,-,-,2.8,120,220,1.3,370,270,0.3,1.2,18,381,-,-,-,0.1,-,-,Processed,Fish etc.
"Octopus Saboko, cooking",76.2,87,15.7,1.5,2.6,-,4.1,60,14,2.1,200,180,0.9,4,38,-,-,-,-,-,-,-,Processed,Fish etc.
"Saltan Saboko, cooking",76,113,17.1,3.6,3,-,0.3,240,60,0.5,40,350,0.2,0.6,27,-,-,-,-,0.1,-,-,Processed,Fish etc.
"Sardine Saboko, cooking",70,110,12.9,4.3,4.9,-,7.9,220,520,6,200,280,0.2,3.9,37,-,-,-,-,-,-,-,Processed,Fish etc.
Milkfish satay,47.1,283,12.1,16.8,20.9,2,3.1,118,186,1.2,543,199,0.2,0.9,-,2,-,0.02,0.02,-,0.3,82,Processed,Fish etc.
"Sepi, cooking",66.1,88,7.9,1.6,10.6,-,13.8,924,350,2.3,873,258,1,1.1,783,-,-,-,-,-,-,-,Processed,Fish etc.
Tekwan,86.7,53,1.9,0.9,9.4,-,1.1,9,41,1,174,42,-,-,99,-,-,0.1,0.02,0.4,-,-,Processed,Fish etc.
"Anchovy balado, cooking",25.8,365,23.7,22.3,17.5,-,10.9,869,348,4,-,-,-,-,27,-,"1,567",0.13,-,-,-,-,Processed,Fish etc.
Sauteed milkfish,70.5,189,11.3,15.7,0.6,-,1.9,56,129,0.4,314,280,0.1,0.7,579,-,-,0.46,0.02,-,-,-,Processed,Fish etc.
Sauteed Keumamah,45.7,300,14.5,20,15.5,4.5,4.3,-,-,-,-,-,-,-,-,8,-,0.63,0.04,-,7,100,Processed,Fish etc.
"Silver barb fish, fresh",66,193,19,13,-,-,2,48,150,0.4,118,264.9,0.1,0.2,45,-,-,0.01,0.1,4.1,-,-,Single,Fish etc.
"Balong fish, fresh",76.5,107,16.5,3.9,1.5,-,1.5,54,202,2,86,253.4,0.5,1,25,-,-,0.05,0.1,2.5,-,-,Single,Fish etc.
"Blackfin Snapper, fresh",73.7,112,20,1.3,3.7,-,1.3,98,120,3,148,258.7,-,0.1,-,-,-,0.07,-,0.3,-,-,Single,Fish etc.
"Milkfish, fresh",74,123,20,4.8,-,-,1.2,20,150,2,67,271.1,-,0.9,45,21,-,0.05,0.1,6,-,-,Single,Fish etc.
"Banjar fish, fresh",73.5,111,19.4,0.9,4.8,-,1.4,68,278,7.3,99,338.7,0.2,0.6,-,62,-,0.03,0.2,7.3,-,-,Single,Fish etc.
"Streaked spinefoot fish, fresh",80,78,14.5,0.6,3.7,-,1.2,26,521,3.8,26,692,4.7,4.1,732,-,-,0.2,0.04,3,-,-,Single,Fish etc.
"Mixed Eel fish, fresh",75.7,115,14.5,4.6,4.2,-,1.1,-,207,-,42,361,0.2,0.9,-,-,-,1.2,0.04,1.1,-,-,Single,Fish etc.
"Asian river catfish, fresh",74.9,123,15.1,5.5,3.3,-,1.2,5,146,1.3,32,349,0.1,0.7,-,-,-,0.2,0.03,1.2,-,-,Single,Fish etc.
"Silver Pomfret, fresh",78,91,19,1.7,-,-,1.3,20,150,2,129,233.3,0.1,0.3,45,-,-,0.05,0.1,1.8,-,-,Single,Fish etc.
"Indonesian featherback, fresh",79.2,80,14.7,1.4,2.2,-,2.3,303,315,1.3,41,356,-,0.8,-,-,-,1.2,0.14,1.4,-,-,Single,Fish etc.
"Asian swamp eel, fresh",81.5,70,14.6,0.8,1,-,2.1,49,155,1.5,55,169,0.2,1.2,-,-,-,0.22,0.12,7.7,-,-,Single,Fish etc.
"Eel, sea, fresh",79.5,93,12.8,1.5,6.1,-,4.1,60,199,3,33,175.9,0.1,1,51,3,71,0.06,-,2.7,-,-,Single,Fish etc.
"Spotted Barb, fresh",70,109,17,4,-,-,9,500,500,1,109,323.5,0.6,1.3,45,-,-,0.05,0.1,2.6,-,-,Single,Fish etc.
"Kissing goorami, fresh",79.1,90,14.9,2.5,2.1,-,1.4,125,265,1,35,207,0.4,0.6,-,-,-,0.36,0.03,2.9,-,-,Single,Fish etc.
"Billiards fish, fresh",68.3,88,14.2,0.7,6.2,-,10.6,27,"1,760",1.5,217,202,-,4.1,-,-,-,0.72,0.09,2.7,-,-,Single,Fish etc.
